countryCode,etlTable,canonicalName,etlFingerPrint,legalStatus,id
,representative,Danske Maritime,Danske Maritime,Organisation,119
,representative,Unione delle Camere Penali Italiane,Unione delle Camere Penali Italiane,Associazione,120
,representative,Conféderation Européenne des Propriétaires Forestiers,Conféderation Européenne des Propriétaires Forestiers,ASBL,121
,representative,Vereinigung Deutsche Sanitärwirtschaft e.V. (VDS),Vereinigung Deutsche Sanitärwirtschaft e.V. (VDS),Eingetragener Verein,122
,representative,Grand Orient de France,Grand Orient de France,Association Loi de 1901,123
,representative,Federazione Nazionale dell'Industria Chimica italiana,Federazione Nazionale dell'Industria Chimica italiana,Associazione,124
,representative,"Assuralia, beroepsvereniging van verzekeringsondernemingen","Assuralia, beroepsvereniging van verzekeringsondernemingen",Beroepsvereniging,125
,representative,Bundesverband Altöl,Bundesverband Altöl,Eingetragener Verein (e.V.),126
,representative,European Writing Instrument Manufacturer's Association,European Writing Instrument Manufacturer's Association,Part of a German registered non-profit organisation (e. V.),127
,representative,NATIONAL FARMERS UNION TRUST COMPANY LIMITED(THE),National Farmers' Union,Trade Association,128
,representative,E-Energy Market B.V.,E-Energy Market BV,BV,129
,representative,NFU SCOTLAND,NFU Scotland,Trade Association,130
,representative,F.E.C.C.I.A. Fédération Européenne des Cadres de la Chimie et des Industries Annexes - European Federation of Managerial Staff in the Chemical and Allied Industries,F.E.C.C.I.A. Fédération Européenne des Cadres de la Chimie et des Industries Annexes - European Federation of Managerial Staff in the Chemical and Allied Industries,federation,131
,representative,Representation of the South Moravian Region to the European Union,Representation of the South Moravian Region to the European Union,The state-funded organisation,132
,representative,Volontari d'Europa,Volontari d'Europa,Organizzazione di volontariato,133
,representative,European Association of Chemical Distributors,European Association of Chemical Distributors,A.I.S.B.L.,134
,representative,Gellis,Gellis,SPRL,135
,representative,Association Française des Trésoriers d'Entreprise,Association Française des Trésoriers d'Entreprise,Association,136
,representative,European Association of Corporate Treasurers,European Association of Corporate Treasurers,Association,137
,representative,Open Society Institute (OSI) Brussels,Open Society Institute Brussels,ASBL,138
,representative,NORTH WESTERN WATERS REGIONAL ADVISORY COUNCIL,North Western Waters Regional Advisory Council,Company Limited by Guarantee - Recognised as a body pursuing an aim of general European interest,139
,representative,Scottish Fishermen's Federation,Scottish Fishermen's Federation,Trade Association,140
,representative,LobbyControl,LobbyControl,Registered non-profit organisation (in Germany),141
,representative,Fédération Nationale de la Mutualité Française,Fédération Nationale de la Mutualité Française,fédération,142
,representative,Sustainable Landfill Foundation,Sustainable Landfill Foundation,Foundation,143
,representative,European Association of Internal Combustion Engine Manufacturers - EUROMOT,European Association of Internal Combustion Engine Manufacturers - EUROMOT,non-profit organisation,144
,representative,Interessengemeinschaft Deutscher Versicherungsmakler e.V.,Interessengemeinschaft Deutscher Versicherungsmakler e.V.,Eingetragener Verein,145
,representative,INVESTMENT & LIFE ASSURANCE GROUP LIMITED,Investment & Life Assurance Group,Company limited by guarantee,146
,representative,European Publishers Council,European Publishers Council,non profit making organisation,147
,representative,Friends of the Earth Europe,Friends of the Earth Europe,a.s.b.l.,148
,representative,BAILLIE GIFFORD & CO LIMITED,Baillie Gifford & Co,Private Limited Partnership,149
,representative,Bundesverband deutscher Banken e.V.,Bundesverband deutscher Banken e.V.,"eingetragener Verein, e.V.",150
,representative,European Public Affairs Consultancies Association,European Public Affairs Consultancies Association,ASBL,151
,representative,Performing Arts Employers Associations League Europe,Performing Arts Employers Associations League Europe,international not-for-profit association,152
,representative,Hutchison Europe - Brussels Branch,Hutchison Europe - Brussels Branch,Branch of Hutchison Whampoa Europe Investments S.à.R.L. Luxembourg,153
,representative,THE SCOTCH WHISKY ASSOCIATION,Scotch Whisky Association,Trade Association,154
,representative,DATEV eG,DATEV eG,Genossenschaft,155
,representative,European Photovoltaic Industry Association (EPIA),European Photovoltaic Industry Association,AISBL,156
